movie_link,movie_name,movie_author
https://movie.douban.com/subject/1292223/,七宗罪,"
导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布..."
https://movie.douban.com/subject/10577869/,时空恋旅人,"
导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl..."
https://movie.douban.com/subject/1295409/,纵横四海,"
导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung..."
https://movie.douban.com/subject/1294240/,教父3,"
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A..."
https://movie.douban.com/subject/1291822/,卢旺达饭店,"
导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥..."
https://movie.douban.com/subject/1858711/,玩具总动员3,"
导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾..."
https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,"
导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon..."
https://movie.douban.com/subject/1291557/,花样年华,"
导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma..."
https://movie.douban.com/subject/1300992/,完美的世界,"
导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos..."
https://movie.douban.com/subject/25980443/,海边的曼彻斯特,"
导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle..."
https://movie.douban.com/subject/3443389/,海洋,"
导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:..."
https://movie.douban.com/subject/1296909/,虎口脱险,"
导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès..."
https://movie.douban.com/subject/1309163/,恋恋笔记本,"
导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/..."
https://movie.douban.com/subject/4848115/,你看起来好像很好吃,"
导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河..."
https://movie.douban.com/subject/1295865/,燃情岁月,"
导演:爱德华·兹威克EdwardZwick   主演:布拉德·皮特BradPitt/安东..."
https://movie.douban.com/subject/26430107/,二十二,"
导演:郭柯KeGuo   主演:"
https://movie.douban.com/subject/10533913/,头脑特工队,"
导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb..."
https://movie.douban.com/subject/6307447/,被解救的姜戈,"
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/..."
https://movie.douban.com/subject/1291578/,冰川时代,"
导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演..."
https://movie.douban.com/subject/1293460/,雨中曲,"
导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly   主演:吉恩·..."
https://movie.douban.com/subject/5964718/,一次别离,"
导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/..."
